frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
3,9,1031.7,726.4,1044.0,755.9,1037.9,755.9,58.158,34.979,1,0.75
3,10,413.4,721.3,426.1,753.6,419.7,753.6,3.953,34.889,1,0.726
3,11,1461.9,773.1,1477.3,811.2,1469.6,811.2,87.256,50.552,1,0.72
3,12,1285.6,715.9,1297.8,749.4,1291.7,749.4,80.258,32.321,1,0.719
3,13,1064.3,681.2,1075.7,708.1,1070.0,708.1,62.413,13.883,1,0.698
3,14,1344.2,708.4,1358.8,741.4,1351.5,741.4,86.423,29.177,1,0.652
3,15,1178.2,707.0,1195.4,738.0,1186.8,738.0,72.036,27.929,1,0.773
3,16,1140.5,690.4,1151.7,717.3,1146.1,717.3,69.689,18.586,1,0.748
3,17,1312.7,713.6,1326.3,746.1,1319.5,746.1,83.02,31.058,1,0.514
3,18,1197.4,699.6,1208.9,731.8,1203.1,731.8,74.032,25.304,1,0.745
3,19,1301.0,735.1,1315.0,772.5,1308.0,772.5,79.323,40.204,1,0.504
3,21,991.1,741.0,1002.7,779.5,996.9,779.5,54.65,42.722,1,0.64
4,1,1531.2,721.3,1543.8,751.5,1537.5,751.5,100.812,32.824,1,0.768
4,2,1112.5,739.6,1123.6,774.4,1118.1,774.4,64.246,41.035,1,0.677
4,3,1353.4,772.9,1370.1,816.2,1361.7,816.2,79.474,51.888,1,0.796
4,4,1047.6,717.3,1060.0,748.2,1053.8,748.2,59.673,32.129,1,0.724
4,5,1444.6,757.7,1461.2,795.8,1452.9,795.8,87.781,46.706,1,0.765
4,6,1332.4,795.5,1353.7,839.3,1343.0,839.3,76.58,56.886,1,0.778
4,7,1289.8,757.3,1305.1,796.4,1297.4,796.4,76.531,47.076,1,0.719
4,8,995.5,771.4,1010.5,813.2,1003.0,813.2,55.051,51.684,1,0.734
4,9,1028.5,728.7,1043.5,758.7,1036.0,758.7,57.959,35.977,1,0.783
4,10,413.2,721.4,426.1,753.6,419.7,753.6,3.951,34.891,1,0.725
4,11,1465.7,773.0,1479.5,812.7,1472.6,812.7,87.302,50.902,1,0.728
4,12,1286.9,716.1,1299.7,749.5,1293.3,749.5,80.386,32.347,1,0.644
4,13,1063.4,681.3,1073.7,708.5,1068.6,708.5,62.243,14.093,1,0.765
4,14,1338.6,708.7,1353.9,741.9,1346.2,741.9,85.89,29.379,1,0.751
4,15,1175.2,706.7,1188.7,738.8,1181.9,738.8,71.525,28.303,1,0.688
4,16,1138.7,690.5,1149.7,717.6,1144.2,717.6,69.472,18.755,1,0.728
4,17,1310.8,715.1,1324.4,746.7,1317.6,746.7,82.793,31.257,1,0.705
4,18,1196.2,700.6,1207.1,732.0,1201.6,732.0,73.873,25.395,1,0.548
4,19,1299.4,738.3,1314.3,773.0,1306.8,773.0,79.185,40.355,1,0.618
4,21,988.3,741.3,1000.3,779.0,994.3,779.0,54.443,42.587,1,0.587
5,1,1527.3,721.0,1542.0,751.9,1534.7,751.9,100.504,32.976,1,0.795
5,2,1106.9,740.3,1120.9,775.9,1113.9,775.9,63.867,41.498,1,0.754
5,3,1352.0,774.0,1367.6,816.7,1359.8,816.7,79.304,52.002,1,0.8
5,4,1044.6,718.9,1057.1,749.1,1050.8,749.1,59.398,32.462,1,0.732
5,5,1443.1,758.3,1460.2,797.0,1451.7,797.0,87.554,47.03,1,0.773
5,6,1327.0,797.2,1348.8,839.5,1337.9,839.5,76.242,56.935,1,0.704
5,7,1288.4,760.1,1304.7,797.0,1296.5,797.0,76.421,47.236,1,0.741
5,8,995.0,771.5,1010.4,811.3,1002.7,811.3,55.032,51.229,1,0.755
5,9,1025.6,731.0,1042.9,759.5,1034.2,759.5,57.799,36.267,1,0.765
5,10,412.9,721.4,426.1,753.7,419.5,753.7,3.94,34.896,1,0.722
5,11,1469.4,773.3,1481.3,814.4,1475.4,814.4,87.308,51.303,1,0.739
5,12,1287.9,710.4,1301.7,749.0,1294.8,749.0,80.56,32.185,1,0.298
5,13,1061.9,680.7,1071.8,708.7,1066.9,708.7,62.059,14.197,1,0.722
5,14,1335.1,708.4,1351.7,742.4,1343.4,742.4,85.58,29.571,1,0.72
5,15,1171.8,706.4,1184.2,738.8,1178.0,738.8,71.174,28.287,1,0.743
5,16,1136.7,691.2,1147.2,717.8,1142.0,717.8,69.238,18.841,1,0.77
5,17,1310.0,714.9,1322.5,746.7,1316.3,746.7,82.676,31.271,1,0.725
5,18,1193.7,700.6,1204.9,731.8,1199.3,731.8,73.676,25.315,1,0.383
5,19,1291.7,738.8,1314.1,773.6,1302.9,773.6,78.817,40.564,1,0.628
5,21,985.1,742.7,998.6,779.8,991.9,779.8,54.255,42.829,1,0.601
6,1,1522.3,720.4,1539.8,752.5,1531.0,752.5,100.093,33.195,1,0.792
