frame,image_x,image_y,pitch_x,pitch_y,is_key
152,1089.0,816.4,60.94,52.31,1
153,1091.6,815.6,61.13,52.11,0
154,1094.2,814.8,61.33,51.91,0
155,1096.8,813.9,61.53,51.72,0
156,1099.4,813.1,61.73,51.52,1
157,1102.2,812.5,61.93,51.37,0
158,1104.9,811.9,62.14,51.22,0
159,1107.7,811.3,62.35,51.07,0
160,1110.5,810.7,62.56,50.92,0
161,1113.2,810.0,62.76,50.77,0
162,1116.0,809.4,62.97,50.62,0
163,1118.7,808.8,63.18,50.46,0
164,1121.5,808.2,63.4,50.31,1
165,1121.6,803.5,63.54,49.15,0
166,1121.7,798.8,63.69,47.94,0
167,1121.7,794.1,63.85,46.7,0
168,1121.8,789.4,64.01,45.42,1
169,1121.9,788.9,64.03,45.29,0
170,1121.9,788.5,64.05,45.17,0
171,1122.0,788.0,64.07,45.04,0
172,1122.0,787.6,64.09,44.91,0
173,1122.1,787.1,64.11,44.78,0
174,1122.1,786.7,64.13,44.65,0
175,1122.2,786.2,64.15,44.52,0
176,1122.2,785.8,64.17,44.4,0
177,1122.3,785.3,64.19,44.27,1
178,1122.9,782.1,64.35,43.35,0
179,1123.6,779.0,64.51,42.41,0
180,1124.2,775.8,64.68,41.45,1
181,1124.3,775.3,64.7,41.29,0
182,1124.3,774.8,64.73,41.13,0
183,1124.4,774.2,64.75,40.97,0
184,1124.5,773.7,64.78,40.81,0
185,1124.5,773.2,64.8,40.64,0
186,1124.6,772.6,64.83,40.48,0
187,1124.7,772.1,64.86,40.31,0
188,1124.7,771.6,64.88,40.15,0
189,1124.8,771.1,64.91,39.98,0
190,1124.9,770.5,64.93,39.82,0
191,1124.9,770.0,64.96,39.65,0
192,1125.0,769.5,64.99,39.48,1
193,1124.8,766.6,65.08,38.56,0
194,1124.5,763.8,65.18,37.61,1
195,1127.1,762.6,65.44,37.2,0
196,1129.6,761.4,65.7,36.79,0
197,1132.2,760.2,65.97,36.37,0
198,1134.7,759.0,66.24,35.95,0
199,1137.3,757.8,66.51,35.52,0
200,1139.9,756.5,66.78,35.09,0
201,1142.4,755.3,67.06,34.66,0
202,1145.0,754.1,67.34,34.22,0
203,1147.5,752.9,67.62,33.78,0
204,1150.1,751.7,67.9,33.33,1
205,1149.6,752.1,67.84,33.48,0
206,1149.0,752.5,67.77,33.63,0
207,1148.5,752.9,67.7,33.77,0
208,1147.9,753.3,67.63,33.92,0
209,1147.4,753.7,67.57,34.07,1
210,1149.1,753.4,67.73,33.94,0
211,1150.8,753.0,67.89,33.82,0
212,1152.5,752.7,68.05,33.7,0
213,1154.1,752.4,68.21,33.57,0
214,1155.8,752.0,68.38,33.45,0
215,1157.5,751.7,68.54,33.32,1
216,1159.4,751.5,68.72,33.25,1
217,1160.6,750.8,68.86,33.0,0
218,1161.8,750.2,69.0,32.76,0
219,1163.0,749.5,69.14,32.51,0
220,1164.2,748.9,69.29,32.26,0
221,1165.4,748.2,69.43,32.01,0
222,1166.7,747.5,69.58,31.76,0
223,1167.9,746.9,69.73,31.51,0
224,1169.1,746.2,69.88,31.25,0
225,1170.3,745.6,70.02,31.0,0
226,1171.5,744.9,70.17,30.74,0
227,1172.7,744.3,70.32,30.48,0
228,1173.9,743.6,70.47,30.22,1
229,1175.2,743.3,70.61,30.1,0
230,1176.4,743.0,70.74,29.97,0
231,1177.7,742.7,70.87,29.85,0
232,1179.0,742.4,71.01,29.72,0
233,1180.2,742.0,71.14,29.59,0
234,1181.5,741.7,71.28,29.47,0
235,1182.7,741.4,71.41,29.34,0
236,1184.0,741.1,71.55,29.22,1
237,1194.8,741.2,72.51,29.23,0
238,1205.5,741.2,73.47,29.25,0
239,1216.3,741.3,74.42,29.27,0
240,1227.1,741.4,75.38,29.29,1
241,1235.8,741.4,76.15,29.28,0
242,1244.4,741.4,76.92,29.27,0
243,1253.1,741.4,77.69,29.27,0
244,1261.7,741.4,78.46,29.26,0
245,1270.4,741.4,79.23,29.25,0
246,1279.0,741.4,80.0,29.24,0
247,1287.7,741.4,80.77,29.23,1
248,1294.6,741.7,81.35,29.35,0
249,1301.6,742.0,81.93,29.47,0
250,1308.5,742.4,82.51,29.59,0
251,1315.5,742.7,83.08,29.71,0
252,1322.4,743.0,83.66,29.83,0
253,1329.4,743.3,84.23,29.94,0
254,1336.3,743.6,84.8,30.06,0
255,1343.3,743.9,85.37,30.18,0
256,1350.2,744.3,85.93,30.3,0
257,1357.2,744.6,86.5,30.41,0
258,1364.1,744.9,87.06,30.53,1
259,1360.2,744.9,86.72,30.53,0
260,1356.3,744.9,86.38,30.54,0
261,1352.3,744.9,86.04,30.54,0
262,1348.4,744.9,85.69,30.55,0
263,1344.5,744.9,85.35,30.55,0
264,1340.6,744.9,85.01,30.55,1
265,1338.3,744.8,84.82,30.51,0
266,1336.0,744.7,84.64,30.47,0
267,1333.7,744.6,84.45,30.43,0
268,1331.4,744.5,84.26,30.39,0
269,1329.1,744.4,84.07,30.36,0
270,1326.8,744.2,83.89,30.32,0
