player_id,team,green_mean,green_max,n_frames
65,G1,0.2425020375104941,0.4017857142857143,27
64,G1,0.19586236799518367,0.35714285714285715,36
74,G1,0.1942488291209759,0.3389355742296919,13
39,G1,0.17824610117089934,0.37543859649122807,36
68,G1,0.16876816736983688,0.3263888888888889,29
66,G1,0.1441299102557078,0.36752136752136755,18
70,G1,0.13419864657854855,0.3422459893048128,12
75,G1,0.12965686274509805,0.3014705882352941,3
34,G1,0.1253084356950252,0.4380165289256198,30
41,G1,0.10632010802246014,0.3541666666666667,40
33,G1,0.10315151733968451,0.30340557275541796,30
42,G1,0.09935696433649095,0.3269230769230769,31
67,G1,0.09612607403185591,0.33992094861660077,28
43,G1,0.09544011936320175,0.30303030303030304,35
59,G1,0.09484659812385415,0.2984189723320158,37
51,G1,0.09154081483839765,0.2916666666666667,31
53,G1,0.08728596578834467,0.28888888888888886,34
58,G1,0.08668040643152303,0.2784090909090909,34
73,G1,0.08313065616535094,0.22608695652173913,9
72,G1,0.08024140211640211,0.40634920634920635,12
63,G2,0.07489086593358711,0.2757352941176471,33
52,G2,0.07142857142857144,0.13736263736263737,3
36,G2,0.06633160465814493,0.26666666666666666,14
38,G2,0.06168859871986811,0.40476190476190477,33
60,G2,0.06130803198472371,0.2982456140350877,14
27,G2,0.045289924967439874,0.31512605042016806,39
57,G2,0.03887269193391642,0.17687074829931973,7
48,G2,0.037495700034399726,0.23529411764705882,9
78,G2,0.0285,0.114,4
76,G2,0.02346978557504873,0.11988304093567251,10
35,G2,0.021266233766233766,0.2125,11
40,G2,0.014003668268927004,0.2088235294117647,28
62,G2,0.0,0.0,1
61,G2,0.0,0.0,4
56,G2,0.0,0.0,6
69,G2,0.0,0.0,2
49,G2,0.0,0.0,3
71,G2,0.0,0.0,17
44,G2,0.0,0.0,7
30,G2,0.0,0.0,3
77,G2,0.0,0.0,2
2,G2,0.0,0.0,42
