old_id,new_id
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
183,1
184,1
188,1
189,1
195,1
196,1
201,1
202,1
203,1
204,1
211,1
212,1
214,1
220,1
221,1
223,1
225,1
226,1
227,1
228,1
230,1
231,1
240,1
241,1
243,1
245,1
246,1
276,1
283,1
285,1
287,1
288,1
291,1
294,1
295,1
299,1
300,1
302,1
303,1
304,1
310,1
311,1
314,1
316,1
317,1
319,1
320,1
322,1
323,1
324,1
326,1
339,1
340,1
347,1
350,1
354,1
358,1
359,1
360,1
362,1
366,1
367,1
371,1
376,1
377,1
380,1
381,1
383,1
384,1
398,1
399,1
402,1
403,1
407,1
408,1
409,1
412,1
413,1
420,1
426,1
429,1
430,1
431,1
432,1
436,1
437,1
438,1
440,1
441,1
443,1
448,1
449,1
450,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
465,1
468,1
470,1
471,1
472,1
473,1
476,1
477,1
481,1
482,1
483,1
484,1
485,1
486,1
488,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
528,1
531,1
532,1
533,1
534,1
535,1
567,1
569,1
570,1
572,1
577,1
608,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
626,1
629,1
630,1
631,1
632,1
635,1
637,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
657,1
660,1
667,1
669,1
675,1
680,1
683,1
2,2
3,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
13,2
15,2
17,2
18,2
21,2
22,2
25,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
42,2
43,2
44,2
45,2
46,2
49,2
51,2
52,2
53,2
58,2
59,2
64,2
66,2
67,2
70,2
71,2
76,2
78,2
81,2
83,2
84,2
85,2
87,2
88,2
89,2
90,2
91,2
92,2
114,2
451,3
469,3
574,3
610,4
656,4
298,5
301,5
315,5
41,6
217,7
234,7
334,8
313,9
652,10
658,11
659,11
666,11
668,11
80,12
100,12
116,12
117,12
118,12
332,13
671,14
423,15
447,15
563,16
674,17
422,18
665,19
19,20
26,20
232,21
233,21
676,22
677,22
63,23
48,24
65,25
379,26
185,27
206,27
207,27
186,28
187,28
638,29
273,30
277,30
284,30
345,31
568,32
73,33
466,34
467,34
628,35
633,35
634,35
361,36
14,37
16,37
68,38
682,39
428,40
433,40
442,40
571,41
1,42
181,43
182,44
190,44
382,45
397,45
414,45
679,46
82,47
191,48
378,49
439,50
627,51
672,52
219,53
239,53
480,54
50,55
564,56
576,57
74,58
305,59
353,60
357,61
364,62
147,63
355,64
365,65
444,66
57,67
308,68
578,69
673,70
23,71
56,72
60,73
130,74
565,75
47,76
129,77
132,78
278,79
372,80
636,81
72,82
338,83
290,84
328,85
685,86
292,87
400,88
333,89
369,90
4,91
335,92
341,93
296,94
297,94
368,95
318,96
410,97
487,98
527,99
580,100
625,101
686,102
79,103
215,104
216,105
401,106
474,107
681,108
93,109
94,110
142,111
194,112
289,113
329,114
344,115
415,116
419,117
529,118
95,119
218,120
280,121
281,122
307,123
342,124
356,125
375,126
404,127
405,128
406,129
566,130
61,131
96,132
97,133
213,134
222,135
279,136
343,137
346,138
416,139
530,140
615,141
678,142
12,143
20,144
75,145
143,146
144,147
145,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
163,159
159,160
160,161
161,162
162,163
164,164
165,165
166,166
167,167
205,168
209,169
210,170
235,171
236,172
237,173
238,174
286,175
373,176
421,177
425,178
427,179
434,180
609,181
611,182
613,183
614,184
689,185
24,186
69,187
77,188
98,189
99,190
101,191
102,192
103,193
104,194
105,195
106,196
107,197
108,198
109,199
110,200
111,201
112,202
115,203
192,204
193,205
224,206
229,207
306,208
336,209
337,210
349,211
374,212
385,213
386,214
396,215
424,216
446,217
464,218
478,219
536,220
670,221
687,222
688,223
690,224
54,225
55,226
62,227
86,228
113,229
119,230
120,231
121,232
122,233
123,234
124,235
125,236
126,237
127,238
128,239
131,240
133,241
134,242
135,243
136,244
137,245
138,246
139,247
140,248
141,249
146,250
168,251
197,252
198,253
199,254
200,255
208,256
242,257
244,258
247,259
248,260
249,261
250,262
251,263
252,264
253,265
254,266
255,267
256,268
257,269
258,270
259,271
260,272
261,273
262,274
263,275
264,276
265,277
266,278
267,279
268,280
269,281
270,282
271,283
272,284
274,285
275,286
282,287
293,288
309,289
312,290
321,291
325,292
327,293
330,294
331,295
348,296
351,297
352,298
363,299
370,300
387,301
388,302
389,303
390,304
391,305
392,306
393,307
394,308
395,309
411,310
417,311
418,312
435,313
445,314
452,315
453,316
475,317
479,318
489,319
490,320
491,321
492,322
493,323
494,324
495,325
496,326
497,327
498,328
499,329
500,330
501,331
502,332
503,333
504,334
505,335
506,336
507,337
508,338
509,339
510,340
511,341
512,342
513,343
514,344
515,345
516,346
517,347
518,348
537,349
538,350
539,351
540,352
541,353
542,354
543,355
544,356
545,357
546,358
547,359
548,360
549,361
550,362
551,363
552,364
553,365
554,366
555,367
556,368
557,369
558,370
559,371
560,372
561,373
562,374
573,375
575,376
579,377
581,378
582,379
583,380
584,381
585,382
586,383
587,384
588,385
589,386
590,387
591,388
592,389
593,390
594,391
595,392
596,393
597,394
598,395
599,396
600,397
601,398
602,399
603,400
604,401
605,402
606,403
607,404
612,405
653,406
654,407
655,408
661,409
662,410
663,411
664,412
684,413
