frame,time,team,players,centroid_x,centroid_y
203,101.5,B,22,56.85,40.227
204,102.0,B,24,55.198,40.837
209,104.5,B,22,55.877,41.338
210,105.0,B,19,55.298,42.475
211,105.5,B,21,53.824,42.303
213,106.5,B,21,54.415,41.74
215,107.5,B,22,55.719,41.859
220,110.0,B,20,55.291,43.386
221,110.5,B,22,54.417,42.38
222,111.0,B,18,55.585,43.876
223,111.5,B,19,57.722,43.208
224,112.0,B,21,57.849,43.481
225,112.5,B,17,62.023,44.744
226,113.0,B,16,63.123,43.54
227,113.5,B,15,64.341,44.143
228,114.0,B,19,67.862,42.83
229,114.5,B,19,67.275,41.072
230,115.0,B,17,69.026,42.345
231,115.5,B,16,70.405,40.276
232,116.0,B,19,72.884,39.631
233,116.5,B,21,73.439,38.178
234,117.0,B,21,73.263,38.631
237,118.5,B,16,70.661,40.444
238,119.0,B,18,72.02,40.646
240,120.0,B,17,70.757,42.891
241,120.5,B,16,70.723,43.89
243,121.5,B,17,68.46,45.702
244,122.0,B,18,67.01,44.033
245,122.5,B,23,66.015,43.715
246,123.0,B,21,63.454,44.019
247,123.5,B,21,60.81,47.827
248,124.0,B,20,60.395,46.629
249,124.5,B,27,61.575,46.707
250,125.0,B,23,58.218,49.229
251,125.5,B,24,59.745,48.375
252,126.0,B,19,57.744,51.601
253,126.5,B,19,58.279,50.672
254,127.0,B,16,60.029,52.023
255,127.5,B,19,61.112,50.82
256,128.0,B,20,62.638,48.71
257,128.5,B,18,63.526,48.555
258,129.0,B,20,64.631,49.131
259,129.5,B,17,64.45,51.088
260,130.0,B,24,65.014,47.91
261,130.5,B,21,63.495,49.992
262,131.0,B,18,62.383,51.134
265,132.5,B,20,56.625,53.331
266,133.0,B,19,54.57,52.621
267,133.5,B,18,52.617,51.53
269,134.5,B,19,48.892,50.259
272,136.0,B,17,46.329,49.594
273,136.5,B,18,43.482,50.077
274,137.0,B,16,41.63,48.409
275,137.5,B,21,39.245,49.448
278,139.0,B,17,37.419,46.617
279,139.5,B,18,36.029,46.79
280,140.0,B,16,36.67,44.97
281,140.5,B,15,35.568,44.369
282,141.0,B,16,33.353,43.034
283,141.5,B,15,34.265,43.18
284,142.0,B,15,33.618,41.972
286,143.0,B,14,33.305,42.399
287,143.5,B,18,30.262,38.716
288,144.0,B,15,31.254,41.9
289,144.5,B,15,30.618,41.297
291,145.5,B,17,29.636,38.233
292,146.0,B,18,29.375,39.163
293,146.5,B,22,27.325,38.463
295,147.5,B,22,27.191,36.844
299,149.5,B,15,31.58,40.19
301,150.5,B,16,30.366,39.896
302,151.0,B,13,31.017,40.592
303,151.5,B,18,29.202,39.616
304,152.0,B,15,31.77,40.997
305,152.5,B,14,33.335,41.174
306,153.0,B,16,32.194,39.074
308,154.0,B,23,31.514,37.027
309,154.5,B,25,37.771,36.513
310,155.0,B,23,38.982,38.528
312,156.0,B,25,37.979,38.296
313,156.5,B,28,39.197,37.173
314,157.0,B,17,35.78,40.681
315,157.5,B,19,30.89,40.679
316,158.0,B,15,35.362,40.898
317,158.5,B,16,37.423,41.785
318,159.0,B,17,37.901,40.967
320,160.0,B,18,40.602,38.433
321,160.5,B,25,42.61,41.023
322,161.0,B,20,44.676,38.502
324,162.0,B,17,40.189,40.992
325,162.5,B,18,41.235,42.161
328,164.0,B,19,38.88,41.698
329,164.5,B,18,40.295,42.039
330,165.0,B,21,40.279,41.383
331,165.5,B,20,42.702,40.636
332,166.0,B,22,42.04,40.123
333,166.5,B,20,44.768,39.304
335,167.5,B,15,44.501,40.304
336,168.0,B,21,53.718,37.533
337,168.5,B,24,52.653,37.257
338,169.0,B,17,46.023,39.956
339,169.5,B,18,44.997,39.948
340,170.0,B,26,49.081,37.939
341,170.5,B,22,43.904,39.57
346,173.0,B,15,43.519,42.447
357,178.5,B,20,46.262,49.325
358,179.0,B,20,46.329,47.996
359,179.5,B,21,45.286,48.504
369,184.5,B,21,40.88,45.45
371,185.5,B,24,46.612,43.403
372,186.0,B,17,43.187,45.29
373,186.5,B,24,41.358,45.043
374,187.0,B,25,47.147,43.777
375,187.5,B,24,38.791,47.071
376,188.0,B,23,40.026,45.289
377,188.5,B,25,38.156,44.29
378,189.0,B,17,39.488,45.881
380,190.0,B,18,36.39,49.024
381,190.5,B,21,38.428,47.444
382,191.0,B,26,39.375,46.115
383,191.5,B,28,42.837,46.706
384,192.0,B,25,37.031,47.577
385,192.5,B,19,37.823,47.497
386,193.0,B,33,43.046,45.263
387,193.5,B,33,44.086,45.021
388,194.0,B,23,37.002,48.378
389,194.5,B,26,37.119,47.704
390,195.0,B,22,35.088,48.984
391,195.5,B,23,37.753,47.817
392,196.0,B,18,38.398,50.141
393,196.5,B,20,41.213,50.254
396,198.0,B,21,50.773,46.104
401,200.5,B,15,41.822,48.762
402,201.0,B,16,42.772,46.643
405,202.5,B,18,45.303,47.525
407,203.5,B,17,45.681,47.83
408,204.0,B,15,46.144,49.506
409,204.5,B,15,45.222,48.274
410,205.0,B,16,46.04,45.049
411,205.5,B,14,46.03,49.689
412,206.0,B,20,48.209,50.424
413,206.5,B,20,48.1,47.934
414,207.0,B,15,47.626,45.394
415,207.5,B,18,49.538,46.55
422,211.0,B,16,56.798,45.746
423,211.5,B,17,58.017,45.304
426,213.0,B,19,57.971,45.402
428,214.0,B,19,57.683,47.371
431,215.5,B,19,55.601,51.992
432,216.0,B,19,54.4,52.203
435,217.5,B,20,52.233,50.9
437,218.5,B,19,52.945,49.658
444,222.0,B,23,41.911,37.785
446,223.0,B,23,40.276,37.685
448,224.0,B,16,41.367,37.176
449,224.5,B,17,39.63,36.853
450,225.0,B,17,40.829,38.522
452,226.0,B,17,37.597,37.254
453,226.5,B,21,33.057,37.959
454,227.0,B,17,36.072,37.989
455,227.5,B,15,36.657,39.117
456,228.0,B,19,35.753,37.135
457,228.5,B,19,34.322,37.509
458,229.0,B,17,36.217,38.501
460,230.0,B,24,35.098,39.092
461,230.5,B,26,40.753,37.237
462,231.0,B,27,41.901,37.463
463,231.5,B,22,38.233,38.54
464,232.0,B,35,44.102,38.578
465,232.5,B,19,37.442,40.815
466,233.0,B,27,38.735,40.47
467,233.5,B,20,36.718,41.38
468,234.0,B,19,38.19,40.758
469,234.5,B,20,37.719,42.99
470,235.0,B,20,38.023,43.822
471,235.5,B,22,38.751,41.366
473,236.5,B,14,39.776,42.704
474,237.0,B,17,33.511,46.22
476,238.0,B,18,36.689,47.352
477,238.5,B,20,34.968,46.678
478,239.0,B,16,36.064,47.099
479,239.5,B,16,36.169,47.748
482,241.0,B,20,38.917,45.865
483,241.5,B,19,39.234,45.298
484,242.0,B,25,46.209,42.809
485,242.5,B,17,39.597,46.136
486,243.0,B,26,43.115,42.762
487,243.5,B,21,36.1,46.629
488,244.0,B,18,36.751,44.482
489,244.5,B,27,38.677,46.041
490,245.0,B,24,45.344,44.831
491,245.5,B,20,37.222,47.109
492,246.0,B,27,45.707,44.307
493,246.5,B,21,37.605,47.236
494,247.0,B,24,37.372,46.212
495,247.5,B,24,39.389,46.601
496,248.0,B,18,39.728,48.424
497,248.5,B,25,46.141,45.619
498,249.0,B,21,42.018,48.189
502,251.0,B,17,44.181,50.181
505,252.5,B,21,49.153,48.075
506,253.0,B,18,50.915,48.693
507,253.5,B,22,50.546,46.999
508,254.0,B,21,51.55,45.8
509,254.5,B,21,53.693,44.123
510,255.0,B,18,55.391,45.733
512,256.0,B,17,57.166,45.052
513,256.5,B,20,60.994,42.872
515,257.5,B,19,61.745,42.605
516,258.0,B,17,62.7,44.681
517,258.5,B,17,64.389,44.871
519,259.5,B,16,67.277,46.575
523,261.5,B,19,74.336,43.701
525,262.5,B,16,71.501,44.53
526,263.0,B,16,70.987,42.729
527,263.5,B,19,73.694,41.983
528,264.0,B,19,73.553,42.388
529,264.5,B,17,75.035,41.715
531,265.5,B,21,74.123,40.837
534,267.0,B,15,69.718,41.144
538,269.0,B,19,69.823,39.165
543,271.5,B,18,69.904,38.975
544,272.0,B,15,66.915,41.022
546,273.0,B,19,65.873,40.438
547,273.5,B,20,65.928,41.239
549,274.5,B,19,66.147,40.058
550,275.0,B,17,66.829,43.136
551,275.5,B,18,67.071,41.456
552,276.0,B,22,65.778,41.103
553,276.5,B,17,65.521,41.688
554,277.0,B,21,65.882,41.309
555,277.5,B,18,65.905,43.156
556,278.0,B,17,65.31,42.923
557,278.5,B,18,65.364,43.312
558,279.0,B,18,65.228,43.532
559,279.5,B,20,65.095,45.115
560,280.0,B,17,65.318,40.14
561,280.5,B,18,63.664,44.333
562,281.0,B,22,63.92,43.864
563,281.5,B,21,62.402,41.272
565,282.5,B,17,62.43,42.505
566,283.0,B,19,62.428,39.255
567,283.5,B,16,59.749,43.008
571,285.5,B,18,61.934,41.234
573,286.5,B,19,65.16,38.307
574,287.0,B,18,65.583,40.279
575,287.5,B,16,65.932,38.711
576,288.0,B,17,67.604,36.255
577,288.5,B,20,68.868,38.99
578,289.0,B,19,68.209,38.05
579,289.5,B,21,67.836,39.283
580,290.0,B,17,67.316,36.535
581,290.5,B,18,70.13,35.402
583,291.5,B,18,67.544,36.756
584,292.0,B,18,69.478,33.687
585,292.5,B,18,68.19,35.428
586,293.0,B,21,71.067,32.13
587,293.5,B,23,67.328,32.077
589,294.5,B,22,67.781,34.455
590,295.0,B,24,70.115,36.76
591,295.5,B,17,68.747,37.93
592,296.0,B,23,68.507,37.75
593,296.5,B,24,68.198,37.59
594,297.0,B,20,66.638,41.276
595,297.5,B,21,67.569,39.596
596,298.0,B,18,64.53,44.066
597,298.5,B,18,62.343,44.831
598,299.0,B,22,62.506,44.748
599,299.5,B,19,61.129,44.343
600,300.0,B,17,59.881,45.446
601,300.5,B,22,59.3,44.906
602,301.0,B,20,57.466,47.153
603,301.5,B,19,57.672,45.309
604,302.0,B,17,57.852,46.377
606,303.0,B,19,56.258,46.014
607,303.5,B,18,55.853,46.801
608,304.0,B,18,56.446,46.769
609,304.5,B,18,56.411,46.865
610,305.0,B,23,57.288,43.923
611,305.5,B,18,56.359,46.918
612,306.0,B,19,57.325,46.346
613,306.5,B,18,56.376,46.258
614,307.0,B,16,57.605,47.206
615,307.5,B,16,56.313,46.934
617,308.5,B,15,55.975,44.857
618,309.0,B,20,56.102,43.846
620,310.0,B,24,59.334,43.68
621,310.5,B,21,60.897,47.619
622,311.0,B,20,60.178,46.895
623,311.5,B,27,61.672,46.434
624,312.0,B,21,59.491,46.836
625,312.5,B,25,60.305,48.042
626,313.0,B,17,60.539,51.276
628,314.0,B,21,62.412,46.492
629,314.5,B,21,62.409,47.834
630,315.0,B,18,63.538,47.714
631,315.5,B,18,63.602,48.556
632,316.0,B,20,63.091,46.83
633,316.5,B,17,63.991,46.376
634,317.0,B,17,63.643,45.132
635,317.5,B,24,65.202,45.828
636,318.0,B,22,63.143,43.065
638,319.0,B,23,55.909,41.276
642,321.0,B,16,55.331,38.882
643,321.5,B,18,51.55,39.558
644,322.0,B,20,52.934,38.526
645,322.5,B,16,52.243,39.817
646,323.0,B,17,52.253,39.305
647,323.5,B,16,52.424,40.266
651,325.5,B,14,50.091,42.904
655,327.5,B,20,54.35,45.891
656,328.0,B,17,54.197,46.028
657,328.5,B,22,57.432,44.811
661,330.5,B,18,60.954,45.921
668,334.0,B,19,74.406,45.681
669,334.5,B,17,74.774,45.953
670,335.0,B,17,78.125,46.138
672,336.0,B,24,75.409,44.972
673,336.5,B,19,73.966,45.338
679,339.5,B,15,73.139,48.035
687,343.5,B,17,72.368,44.534
688,344.0,B,16,72.316,46.211
689,344.5,B,16,70.654,44.673
690,345.0,B,17,71.859,44.703
691,345.5,B,17,71.368,44.884
695,347.5,B,22,68.393,40.754
698,349.0,B,18,66.179,40.039
701,350.5,B,18,65.842,41.16
702,351.0,B,18,66.561,43.72
704,352.0,B,18,65.949,43.989
706,353.0,B,15,69.005,44.284
709,354.5,B,19,67.129,44.912
710,355.0,B,20,67.13,43.622
711,355.5,B,19,66.653,44.778
712,356.0,B,19,64.757,43.123
713,356.5,B,20,66.371,43.099
714,357.0,B,20,64.629,43.41
715,357.5,B,20,65.05,43.326
722,361.0,B,22,66.791,42.082
723,361.5,B,18,60.873,46.113
724,362.0,B,24,57.144,46.151
725,362.5,B,20,59.324,46.423
726,363.0,B,21,58.542,46.109
727,363.5,B,22,58.237,46.219
728,364.0,B,20,56.14,48.149
730,365.0,B,22,53.03,50.337
731,365.5,B,20,52.733,49.677
735,367.5,B,24,52.974,47.11
736,368.0,B,22,46.948,48.437
738,369.0,B,23,43.873,49.575
739,369.5,B,27,48.498,47.026
740,370.0,B,22,42.608,48.28
741,370.5,B,21,42.417,48.53
742,371.0,B,25,41.16,47.018
743,371.5,B,22,44.477,49.016
744,372.0,B,26,38.314,47.249
745,372.5,B,23,37.397,47.932
746,373.0,B,18,34.438,49.275
748,374.0,B,21,35.363,48.98
749,374.5,B,28,35.296,45.98
750,375.0,B,14,33.944,50.941
751,375.5,B,18,34.812,49.139
752,376.0,B,25,44.328,43.543
756,378.0,B,16,36.44,47.417
759,379.5,B,17,34.817,49.459
760,380.0,B,22,34.06,47.341
761,380.5,B,16,34.401,46.518
762,381.0,B,19,37.617,47.783
763,381.5,B,23,33.593,48.822
766,383.0,B,17,39.031,45.606
767,383.5,B,27,47.53,44.218
768,384.0,B,20,40.204,45.199
769,384.5,B,17,41.458,46.088
770,385.0,B,20,41.902,45.501
771,385.5,B,35,46.408,42.712
772,386.0,B,33,44.472,44.046
773,386.5,B,17,42.741,45.051
774,387.0,B,28,42.732,42.906
775,387.5,B,22,42.142,42.082
776,388.0,B,31,43.293,40.609
