frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
92,3.835,黒,黒3,1445.6,758.8,91.988,35.522,1,1
93,3.876,黒,黒3,1445.1,758.8,91.948,35.523,1,1
94,3.918,黒,黒3,1444.5,759.1,91.852,35.634,1,1
95,3.96,黒,黒3,1443.7,759.2,91.768,35.689,1,1
96,4.001,黒,黒3,1442.9,759.4,91.68,35.741,1,1
97,4.043,黒,黒3,1442.5,759.6,91.618,35.802,1,1
98,4.085,黒,黒3,1441.7,759.5,91.56,35.787,1,1
99,4.126,黒,黒3,1441.3,759.7,91.498,35.852,1,1
100,4.168,黒,黒3,1441.0,760.0,91.435,35.946,1,1
101,4.21,黒,黒3,1440.5,760.4,91.337,36.086,1,1
102,4.251,黒,黒3,1439.6,760.5,91.25,36.128,1,1
103,4.293,黒,黒3,1438.7,760.6,91.17,36.147,1,1
104,4.335,黒,黒3,1438.0,760.4,91.13,36.103,1,1
105,4.376,黒,黒3,1437.7,760.3,91.123,36.054,1,1
106,4.418,黒,黒3,1437.3,760.5,91.056,36.133,1,1
107,4.46,黒,黒3,1436.8,760.6,91.011,36.144,1,1
108,4.501,黒,黒3,1436.3,760.6,90.968,36.151,1,1
109,4.543,黒,黒3,1435.6,760.5,90.918,36.143,1,1
110,4.585,黒,黒3,1434.7,760.6,90.83,36.177,1,1
111,4.626,黒,黒3,1434.0,760.7,90.768,36.197,1,1
112,4.668,黒,黒3,1433.4,760.8,90.707,36.218,1,1
113,4.71,黒,黒3,1433.0,760.8,90.661,36.246,1,1
114,4.752,黒,黒3,1432.7,760.8,90.645,36.225,1,1
115,4.793,黒,黒3,1432.5,761.1,90.592,36.333,1,1
116,4.835,黒,黒3,1432.5,761.4,90.542,36.442,1,1
117,4.877,黒,黒3,1432.4,761.7,90.493,36.552,1,1
118,4.918,黒,黒3,1432.3,762.5,90.375,36.812,1,1
119,4.96,黒,黒3,1432.3,762.9,90.324,36.946,1,1
120,5.002,黒,黒3,1432.4,763.1,90.297,37.023,1,1
121,5.043,黒,黒3,1432.5,763.5,90.25,37.149,1,1
122,5.085,黒,黒3,1432.6,763.6,90.246,37.19,1,1
123,5.127,黒,黒3,1432.7,763.9,90.215,37.275,1,1
124,5.168,黒,黒3,1432.7,764.1,90.184,37.35,1,1
125,5.21,黒,黒3,1432.6,764.4,90.144,37.439,1,1
126,5.252,黒,黒3,1432.7,764.4,90.153,37.437,1,1
127,5.293,黒,黒3,1432.9,764.1,90.202,37.353,1,1
128,5.335,黒,黒3,1433.0,764.4,90.176,37.431,1,1
129,5.377,黒,黒3,1432.9,764.3,90.179,37.413,1,1
130,5.418,黒,黒3,1433.0,764.5,90.16,37.468,1,1
131,5.46,黒,黒3,1433.0,764.9,90.109,37.602,1,1
132,5.502,黒,黒3,1432.8,765.0,90.073,37.647,1,1
133,5.543,黒,黒3,1432.5,765.1,90.036,37.687,1,1
134,5.585,黒,黒3,1432.5,765.1,90.041,37.665,1,1
135,5.627,黒,黒3,1432.5,765.1,90.037,37.677,1,1
136,5.668,黒,黒3,1432.6,765.1,90.05,37.671,1,1
137,5.71,黒,黒3,1433.1,765.2,90.073,37.7,1,1
138,5.752,黒,黒3,1433.4,765.2,90.103,37.694,1,1
139,5.794,黒,黒3,1433.9,765.1,90.149,37.68,1,1
140,5.835,黒,黒3,1434.2,765.2,90.163,37.707,1,1
141,5.877,黒,黒3,1434.4,765.2,90.17,37.714,1,1
142,5.919,黒,黒3,1434.5,765.3,90.176,37.725,1,1
143,5.96,黒,黒3,1434.7,765.0,90.219,37.648,1,1
144,6.002,黒,黒3,1434.9,764.7,90.279,37.542,1,1
145,6.044,黒,黒3,1435.6,764.6,90.352,37.51,1,1
146,6.085,黒,黒3,1436.6,764.5,90.446,37.472,1,1
147,6.127,黒,黒3,1437.7,764.4,90.548,37.443,1,1
148,6.169,黒,黒3,1438.9,764.1,90.679,37.348,1,1
149,6.21,黒,黒3,1439.6,764.2,90.731,37.358,1,1
150,6.252,黒,黒3,1440.7,764.4,90.793,37.421,1,1
151,6.294,黒,黒3,1441.4,764.5,90.83,37.469,1,1
152,6.335,黒,黒3,1441.7,764.2,90.896,37.368,1,1
153,6.377,黒,黒3,1442.1,763.9,90.965,37.281,1,1
154,6.419,黒,黒3,1442.4,764.0,90.99,37.285,1,1
155,6.46,黒,黒3,1442.9,763.6,91.078,37.162,1,1
156,6.502,黒,黒3,1443.4,763.6,91.12,37.163,1,1
157,6.544,黒,黒3,1443.9,763.6,91.156,37.165,1,1
158,6.585,黒,黒3,1444.5,764.1,91.138,37.332,1,1
159,6.627,黒,黒3,1445.0,764.2,91.166,37.358,1,1
160,6.669,黒,黒3,1445.4,764.3,91.186,37.382,1,1
161,6.71,黒,黒3,1445.9,764.2,91.238,37.356,1,1
162,6.752,黒,黒3,1446.4,764.1,91.294,37.314,1,1
163,6.794,黒,黒3,1447.1,764.2,91.336,37.353,1,1
164,6.836,黒,黒3,1447.7,764.5,91.342,37.444,1,1
165,6.877,黒,黒3,1448.1,764.7,91.347,37.52,1,1
166,6.919,黒,黒3,1448.1,764.5,91.365,37.464,1,1
167,6.961,黒,黒3,1448.2,764.6,91.37,37.481,1,1
168,7.002,黒,黒3,1448.4,764.5,91.39,37.471,1,1
169,7.044,黒,黒3,1448.7,764.6,91.402,37.499,1,1
170,7.086,黒,黒3,1449.4,764.6,91.456,37.503,1,1
171,7.127,黒,黒3,1450.4,764.7,91.523,37.538,1,1
172,7.169,黒,黒3,1451.2,764.8,91.578,37.554,1,1
173,7.211,黒,黒3,1451.8,764.6,91.647,37.5,1,1
174,7.252,黒,黒3,1452.1,764.7,91.661,37.517,1,1
175,7.294,黒,黒3,1452.5,764.7,91.696,37.514,1,1
176,7.336,黒,黒3,1452.9,764.7,91.729,37.509,1,1
177,7.377,黒,黒3,1453.2,764.8,91.74,37.546,1,1
178,7.419,黒,黒3,1453.6,764.9,91.755,37.577,1,1
179,7.461,黒,黒3,1454.2,765.0,91.785,37.616,1,1
180,7.502,黒,黒3,1454.7,765.0,91.835,37.6,1,1
181,7.544,黒,黒3,1455.1,764.9,91.876,37.585,1,1
182,7.586,黒,黒3,1455.6,764.5,91.974,37.437,1,1
183,7.627,黒,黒3,1456.1,764.1,92.073,37.303,1,1
184,7.669,黒,黒3,1456.6,763.8,92.157,37.214,1,1
185,7.711,黒,黒3,1457.0,763.5,92.223,37.118,1,1
186,7.752,黒,黒3,1457.4,763.0,92.337,36.939,1,1
187,7.794,黒,黒3,1457.9,762.1,92.505,36.647,1,1
188,7.836,黒,黒3,1458.5,761.7,92.616,36.503,1,1
189,7.878,黒,黒3,1459.2,761.4,92.707,36.42,1,1
190,7.919,黒,黒3,1460.0,761.4,92.784,36.394,1,1
191,7.961,黒,黒3,1460.6,761.4,92.83,36.401,1,1
192,8.003,黒,黒3,1461.0,761.4,92.853,36.415,1,1
193,8.044,黒,黒3,1461.2,761.5,92.862,36.44,1,1
194,8.086,黒,黒3,1461.4,761.5,92.868,36.447,1,1
195,8.128,黒,黒3,1461.7,761.5,92.897,36.447,1,1
196,8.169,黒,黒3,1462.0,761.5,92.929,36.432,1,1
